Материал,Класс,Грузополучатель,reciever_lat,reciever_long
770000366213,G2106,20000537,66.6615094,66.3810869
770000878865,G21050102,20000447,52.3445327,84.4583842
770000095289,G210511,8536,55.00907075000001,73.29768400924007
770000716038,G210502,20000052,54.3408,73.2098
770000374106,G21050301,20000447,52.3445327,84.4583842
770000943628,G210404,20001629,55.35,78.35
770000129646,G210502,20000537,66.6615094,66.3810869
770000353601,G21050102,20000537,66.6615094,66.3810869
770000809157,G21050101,20000537,66.6615094,66.3810869
770000924916,G21050101,20000537,66.6615094,66.3810869
770000924796,G21050101,20000537,66.6615094,66.3810869
770000924818,G21050101,20000537,66.6615094,66.3810869
770000924839,G21050101,20000537,66.6615094,66.3810869
770000924847,G21050101,20000537,66.6615094,66.3810869
770000924842,G21050101,20000537,66.6615094,66.3810869
770000924923,G21050101,20000537,66.6615094,66.3810869
770000851224,G21050101,20000570,66.6674278,66.3806982
1154116,G21050101,20001123,66.8811,79.4907
1173942,G210509,20001123,66.8811,79.4907
770000848016,G210511,20001123,66.8811,79.4907
770000794338,G2106,20001123,66.8811,79.4907
770000794337,G2106,20001123,66.8811,79.4907
770000794336,G2106,20001123,66.8811,79.4907
770000895273,G21050101,20001123,66.8811,79.4907
770000656806,G21050101,20001123,66.8811,79.4907
770000507534,G21050101,20001123,66.8811,79.4907
770000875292,G21050101,20001123,66.8811,79.4907
770000875289,G21050101,20001123,66.8811,79.4907
770000875133,G2106,20001123,66.8811,79.4907
770000875132,G2106,20001123,66.8811,79.4907
770000875135,G2106,20001123,66.8811,79.4907
770000875131,G2106,20001123,66.8811,79.4907
770000875129,G2106,20001123,66.8811,79.4907
770000890166,G2110,20001123,66.8811,79.4907
770000892233,G2110,20001123,66.8811,79.4907
770000890174,G2110,20001123,66.8811,79.4907
770000857347,G210511,20001123,66.8811,79.4907
770000875288,G21050101,20001123,66.8811,79.4907
770000875287,G21050101,20001123,66.8811,79.4907
770000875300,G21050101,20001123,66.8811,79.4907
770000873407,G21050101,20001123,66.8811,79.4907
770000875301,G21050101,20001123,66.8811,79.4907
770000873408,G21050101,20001123,66.8811,79.4907
770000895272,G21050101,20001123,66.8811,79.4907
770000847260,G21050101,20001123,66.8811,79.4907
770000821423,G210511,20001633,66.0833,76.6333
770000849411,G2109,20001633,66.0833,76.6333
770000849415,G2109,20001633,66.0833,76.6333
770000836379,G2106,20001633,66.0833,76.6333
770000794336,G2106,20001633,66.0833,76.6333
770000856973,G210511,20001633,66.0833,76.6333
770000107565,G210511,20001633,66.0833,76.6333
770000513897,G21050101,20001633,66.0833,76.6333
770000869465,G21050101,20001633,66.0833,76.6333
770000851213,G21050101,20001633,66.0833,76.6333
770000874977,G2107,20000570,66.6674278,66.3806982
770000347171,G21050102,20000537,66.6615094,66.3810869
770000894277,G21050102,20001383,56.7658,105.6483
770000689944,G21050101,20001383,56.7658,105.6483
770000615310,G21050101,20001383,56.7658,105.6483
770000243968,G21050101,20001383,56.7658,105.6483
770000851224,G21050101,20001383,56.7658,105.6483
