Материал,Класс,Поставщики
1228270,G210502,"['93361', '63379', '109890', '44403', '50604', '99932', '84257', '78212']"
1229993,G21050102,['7140703566']
1230016,G21050102,['39295']
1233673,G21050102,"['58691', '66005', '40661']"
1234123,G210502,"['58691', '71644', '108667', '76925', '52095', '66005', '40661']"
1236082,G21040101,"['60199', '92706', '83996']"
1236160,G21040101,"['62488', '83996', '7130091442', '72222']"
1238511,G210513,"['61448', '47772', '58691']"
1238513,G210513,"['61448', '47772', '58691']"
1239840,G21050301,"['63104', '69418', '58464', '72148', '40661']"
1240250,G2107,['61428']
1241517,G21050301,"['79691', '69418', '86060', '27645']"
1241556,G21050102,"['94401', '104734', '51983']"
1244663,G210502,['40194']
1246476,G21050102,"['58691', '73273']"
1246480,G21050102,"['58691', '27645']"
1247007,G21040101,"['73073', '72631', '94401']"
1247050,G2106,['44284']
1247118,G21050101,['58691']
1247159,G210502,"['27645', '52095', '39295', '73273']"
1247416,G2110,"['50615', '71644']"
1247418,G2110,"['8536', '71644']"
1247419,G2110,"['8536', '71644']"
770000002280,G210502,"['92393', '68104']"
770000002543,G210502,"['59541', '60519', '83996', '47772', '25890', '66005']"
770000002547,G210502,"['59541', '58691', '60519', '47772', '76120', '83996', '52095', '25890', '66005']"
770000002548,G210502,"['58691', '54948', '66005', '40661']"
770000002549,G210502,"['59541', '58691', '52095', '60519', '108667', '59', '76120', '83996', '76925', '47772', '25890', '66005']"
770000002550,G210502,"['93361', '58691', '54948', '63379', '75577', '109890', '108667', '76925', '50604', '99932', '66005', '78212']"
770000006110,G2106,"['69418', '58691', '58857', '39285', '94990', '47772']"
770000006111,G2106,"['69418', '58691', '104143', '54948', '76925', '66005', '40661']"
770000006513,G21050102,['7175103124']
770000006549,G21050102,"['59541', '58691', '52095', '61448', '92706', '47772']"
770000006580,G21050370,['96633']
770000006584,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000007170,G21050102,"['59541', '52095', '61448', '76120', '83996', '47772', '60519', '66005']"
770000007171,G21050102,"['59541', '52095', '61448', '47772', '66005']"
770000007172,G21050102,"['86311', '97586', '58691', '22722', '47772', '108667', '76925', '52095', '60519', '66005']"
770000007173,G21050102,"['59541', '47772', '83996', '52095', '25890', '66005']"
770000007174,G21050102,"['104795', '51983', '58060', '94990', '66005', '104735']"
770000007176,G21050102,"['25890', '66005']"
770000007177,G21050102,"['52095', '66005']"
770000007179,G21050102,"['76925', '58691', '66005', '108667']"
770000007180,G21050102,['66005']
770000007181,G21050102,"['27645', '89499', '94401', '58691', '61448', '111892', '39295', '108667', '76925', '52095', '66005']"
770000007182,G21050102,['66005']
770000007183,G21050102,['66005']
770000007184,G21050102,['66005']
770000007383,G21050102,"['59541', '58691', '52095', '104734', '51983', '61448', '104735', '76925', '47772', '94401', '103322']"
770000007384,G21050102,"['59541', '89499', '73073', '58691', '52095', '61448', '111892', '72631', '91113', '83996', '76925', '47772', '94401', '103322']"
770000007567,G210502,"['52095', '60519', '83996']"
770000007594,G21050102,"['86311', '59541', '52095', '47772', '60519']"
770000007596,G21050102,"['104795', '59541', '58691', '52095', '104734', '51983', '61448', '76925', '47772', '94401', '104735']"
770000011244,G210512,"['59541', '57650', '58691', '52095', '47772']"
770000011578,G21050102,"['104795', '104734', '51983', '47772', '94401', '104735']"
770000011585,G21050102,"['104795', '104734', '51983', '83996', '94401', '104735']"
770000011588,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000011610,G210502,"['94990', '72631', '94401', '51983']"
770000011611,G210502,"['63104', '59541', '76120', '73082', '47772', '25890']"
770000011613,G210502,"['59541', '61448', '47772', '58691']"
