Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
24446.0,770000848680,"Кабель ВВГнг(А)-LS 3х2,5ок(N,PE)-1",КМ,1.21,7,2020,2,2020-07-30,24446.0,51165.6,,10947663,70,2020-03-03,7
24446.0,770000448968,"Кабель ВВГнг(А)-LS 5х4ок(N,PE)-1",КМ,0.09,7,2020,2,2020-07-30,24446.0,235392.0,,10947663,80,2020-03-03,7
24446.0,770000866990,"Кабель ВВГнг(А)-FRLS 3х1,5ок(N,PE)-1",КМ,0.32,7,2020,2,2020-07-30,24446.0,46299.6,,10947663,90,2020-03-03,7
24446.0,770000235687,Муфта концевая 5ПКВНтп-в-35/50,КТ,4.0,3,2021,1,2021-03-31,24446.0,1821.6,,10947661,1450,2020-03-03,8
24446.0,770000713804,"Кабель ВБШвнг(А)-LS 3х4ок(N,PE)-1",КМ,1.34,3,2021,1,2021-03-31,24446.0,125591.65,Конкурентный отбор,10950458,690,2020-03-10,8
57650.0,770000995165,"Кабель КУИНнг(А)-FRHF 4х2х1,2 ПсЭК-ХЛ",КМ,1.0,4,2021,1,2021-04-02,20000570.0,1718832.42,Конкурентный отбор,10956542,270,2020-03-27,8
58553.0,1154255,Кабель 10QTVR2-CT Raychem/391991-000,М,200.0,8,2021,2,2021-08-31,20000771.0,3547.5,Конкурентный отбор,10947764,30,2020-03-03,9
8536.0,770001015571,Кабель СКАБ 660нг(А)--FRLS 1х3х1л в,КМ,0.637,8,2021,2,2021-08-31,8536.0,574825.15,Конкурентный отбор,10953192,100,2020-03-18,9
24446.0,770000904144,КабельТОФЛЕКС КУВЭаВнг(А)-LS 37х1-660,КМ,0.257,9,2020,2,2020-09-15,24446.0,729937.72,,10948366,130,2020-03-04,10
24446.0,770000679442,"Кабель КВВГнг(А)-LS 4х1,5",КМ,0.36,9,2020,2,2020-09-30,24446.0,45105.6,,10948388,40,2020-03-04,10
24446.0,770000310519,"Кабель КВБВнг(А)-LS 4х1,5",КМ,0.66,8,2020,2,2020-08-31,24446.0,82116.0,,10948389,30,2020-03-04,10
59.0,1236160,Муфта 3КВТп-10-70/120,ШТ,4.0,9,2020,2,2020-09-26,20000221.0,2292.48,,10948813,300,2020-03-04,10
59.0,770000334302,Муфта концевая 3КНТп-10-(70/120),КТ,1.0,9,2020,2,2020-09-26,20000221.0,3108.0,,10948813,310,2020-03-04,10
8536.0,770000119670,"Кабель ВБШвнг(А)-LS 5х4ок(N,PE)-0,66",КМ,1.08,9,2020,2,2020-09-16,8536.0,233743.28,Конкурентный отбор,10950393,300,2020-03-10,10
44114.0,770000852540,"Кабель К9РВСБПМнг(А)-HF 5х16мк(N,PE)-1",КМ,0.26,9,2020,2,2020-09-03,20001123.0,2495238.08,Конкурентный отбор,10951112,230,2020-03-12,10
44114.0,770000889492,Кабель К9РВСБПМнг(А)-HF 4х16мк(N)-1,КМ,9.615,9,2020,2,2020-09-30,20001123.0,2037759.47,Конкурентный отбор,10951112,310,2020-03-12,10
44114.0,770000685394,"Кабель К9РВСБПМнг(А)-HF 3х10ок(N,PE)-1",КМ,11.078,9,2020,2,2020-09-30,20001123.0,1075331.4,Конкурентный отбор,10951112,390,2020-03-12,10
8536.0,770000577884,"Кабель КУИНнг(А)-LS 2х2х1,0 ВЭ",КМ,1.44,9,2020,2,2020-09-24,8536.0,413077.12,Конкурентный отбор,10951120,40,2020-03-12,10
8536.0,770000768615,"Кабель КВВГнг(А)-LS 5х2,5 Ч",КМ,1.44,9,2020,2,2020-09-24,8536.0,115044.88,Конкурентный отбор,10951120,50,2020-03-12,10
24446.0,770000911448,"Кабель КВВГнг(А)-LS 4х1,5",КМ,0.56,9,2020,2,2020-09-30,24446.0,54840.77,,10950589,200,2020-03-10,10
24446.0,770000190697,Кабель ВБШвнг(А)-LS 4х4ок(N)-1,КМ,0.23,9,2020,2,2020-09-30,24446.0,154200.0,,10950589,210,2020-03-10,10
8536.0,770000819837,Муфта POLT-12D/3XIH4-Т-L16A Raychem,КТ,59.0,7,2020,2,2020-07-03,20000052.0,179330.08,,10948624,1690,2020-03-04,11
8536.0,770000819846,Муфта POLT-12D/3XIH4-Т-L16B Raychem,КТ,9.0,7,2020,2,2020-07-03,20000052.0,35546.36,,10948624,1700,2020-03-04,11
59.0,770000851725,Наконечник кабельный 185-20-21,ШТ,24.0,7,2020,2,2020-07-12,20000221.0,354.0,,10948813,180,2020-03-04,11
59.0,770000851727,Наконечник кабельный 95-12-15,ШТ,30.0,7,2020,2,2020-07-12,20000221.0,156.0,,10948813,190,2020-03-04,11
59.0,770000851728,Наконечник кабельный 70-10-13,ШТ,12.0,7,2020,2,2020-07-12,20000221.0,90.0,,10948813,200,2020-03-04,11
59.0,770000851730,Наконечник кабельный 16-6-6,ШТ,30.0,7,2020,2,2020-07-12,20000221.0,31.2,,10948813,210,2020-03-04,11
59.0,770000473255,Муфта 3СТп-10-150/240,ШТ,10.0,7,2020,2,2020-07-22,20000221.0,7188.0,,10948813,220,2020-03-04,11
59.0,1236160,Муфта 3КВТп-10-70/120,ШТ,3.0,7,2020,2,2020-07-22,20000221.0,2388.0,,10948813,230,2020-03-04,11
59.0,770000235612,Муфта 3КНТП-10-70/120,КТ,1.0,7,2020,2,2020-07-22,20000221.0,3108.0,,10948813,240,2020-03-04,11
59.0,770000456499,Муфта концевая 3СТп-10-70/120,ШТ,2.0,7,2020,2,2020-07-22,20000221.0,6828.0,,10948813,250,2020-03-04,11
59.0,1236160,Муфта 3КВТп-10-70/120,ШТ,4.0,7,2020,2,2020-07-22,20000221.0,2292.48,,10948813,260,2020-03-04,11
59.0,770000456499,Муфта концевая 3СТп-10-70/120,ШТ,1.0,7,2020,2,2020-07-22,20000221.0,6554.88,,10948813,270,2020-03-04,11
